"ID","Player","Team","Position","RkOv","Status","Age","Salary","Contract","FPts","FP/G","%D","ADP","Ros","+/-"
"*072da*","Tyson Gross","(N/A)","F","3217","FA","23","100","Rachat","0","0","0","-","0%","0%"
"*060xi*","Leo Gruba","(N/A)","D","3220","FA","22","100","Rachat","0","0","0","-","0%","0%"
"*01t69*","Eric Gryba","(N/A)","D","3225","FA","37","100","Rachat","0","0","0","-","0%","0%"
"*04l3r*","Nicolas Guay","(N/A)","F","3226","FA","26","100","Rachat","0","0","0","-","0%","0%"
"*03km4*","Alex Gudbranson","TOR","D","3229","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*031qa*","Kristers Gudlevskis","(N/A)","G","3231","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*038sz*","Sacha Guimond","VAN","D","3237","FA","34","100","Rachat","0","0","0","-","0%","0%"
"*04f73*","Kristoffer Gunnarsson","VAN","D","3246","FA","28","100","Rachat","0","0","0","-","0%","0%"
"*06cf9*","Viking Gustafsson Nyberg","(N/A)","D","3258","FA","22","100","Rachat","0","0","0","-","0%","0%"
"*01zsd*","Johan Gustafsson","(N/A)","G","3264","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*01f8o*","Jonas Gustavsson","(N/A)","G","3267","FA","41","100","Rachat","0","0","0","-","0%","0%"
"*03e1r*","Henrik Haapala","(N/A)","F","3280","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*04mhp*","Gaetan Haas","(N/A)","F","3284","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*01meq*","Matt Hackett","(N/A)","G","3288","FA","35","100","Rachat","0","0","0","-","0%","0%"
"*0272t*","Kyle Hagel","CAR","F","3290","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*01svj*","Carl Hagelin","(N/A)","F","3292","FA","37","100","Rachat","0","0","0","-","0%","0%"
"*06l28*","Amine Hajibi","(N/A)","F","3303","FA","20","100","Rachat","0","0","0","-","0%","0%"
"*06bdu*","Ty Halaburda","(N/A)","F","3307","FA","20","100","Rachat","0","0","0","-","0%","0%"
"*015sp*","Micheal Haley","(N/A)","F","3310","FA","39","100","Rachat","0","0","0","-","0%","0%"
"*00qla*","Matt Halischuk","(N/A)","F","3311","FA","37","100","Rachat","0","0","0","-","0%","0%"
"*043i9*","Niilo Halonen","(N/A)","G","3321","FA","27","100","Rachat","0","0","0","-","0%","0%"
"*01ztn*","Freddie Hamilton","(N/A)","F","3335","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*02447*","Jake Hansen","(N/A)","F","3354","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*072fi*","Ty Hanson","(N/A)","D","3357","FA","20","100","Rachat","0","0","-","-","0%","0%"
"*031os*","Niklas Hansson","(N/A)","D","3358","FA","30","100","Rachat","0","0","0","-","0%","0%"
"*051xj*","Clay Hanus","(N/A)","D","3360","FA","24","100","Rachat","0","0","0","-","0%","0%"
"*003ua*","Josh Harding","(N/A)","G","3365","FA","41","100","Rachat","0","0","0","-","0%","0%"
"*01spk*","Shane Harper","(N/A)","F","3376","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*03c9a*","Stephen Harper","(N/A)","F","3377","FA","30","100","Rachat","0","0","0","-","0%","0%"
"*0049s*","Jay Harrison","(N/A)","D","3383","FA","43","100","Rachat","0","0","0","-","0%","0%"
"*03wmb*","Jayden Hart","(N/A)","F","3388","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*064ts*","Cameron Hausinger","NSH","F","3405","FA","26","100","Rachat","0","0","0","-","0%","0%"
"*04l7h*","Ben Hawerchuk","CGY","F","3411","FA","27","100","Rachat","0","0","0","-","0%","0%"
"*03edc*","Aaron Haydon","DAL","D","3416","FA","29","100","Rachat","0","0","0","-","0%","0%"
"*01g5y*","Jimmy Hayes","(N/A)","F","3420","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*06kj0*","Chris Hedden","(N/A)","D","3435","FA","23","100","Rachat","0","0","0","-","0%","0%"
"*038ii*","Mike Hedden","(N/A)","F","3436","FA","41","100","Rachat","0","0","0","-","0%","0%"
"*06c6q*","Isac Hedqvist","(N/A)","F","3438","FA","20","100","Rachat","0","0","0","-","0%","0%"
"*01zum*","Tim Heed","(N/A)","D","3440","FA","34","100","Rachat","0","0","0","-","0%","0%"
"*03l7c*","Adam Helewka","CBJ","F","3457","FA","30","100","Rachat","0","0","0","-","0%","0%"
"*02odn*","Kenton Helgesen","(N/A)","F","3458","FA","31","100","Rachat","0","0","0","-","0%","0%"
"*02j3z*","Seth Helgeson","NYI","D","3460","FA","35","100","Rachat","0","0","0","-","0%","0%"
"*003mj*","Trevor Hendrikx","(N/A)","D","3477","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*004l7*","Thomas Hickey","(N/A)","D","3515","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*048w4*","Connor Hicks","DET","G","3517","FA","28","100","Rachat","0","0","0","-","0%","0%"
"*003vg*","Chris Higgins","(N/A)","F","3520","FA","42","100","Rachat","0","0","0","-","0%","0%"
"*003ke*","Niklas Hjalmarsson","(N/A)","D","3547","FA","38","100","Rachat","0","0","0","-","0%","0%"
"*01mm0*","Simon Hjalmarsson","(N/A)","F","3548","FA","36","100","Rachat","0","0","0","-","0%","0%"
"*015pu*","Cody Hodgson","(N/A)","F","3563","FA","35","100","Rachat","0","0","0","-","0%","0%"
"*06ows*","Gavin Hodnett","(N/A)","F","3565","FA","19","100","Rachat","0","0","0","-","0%","0%"
"*02fmf*","Gregory Hofmann","(N/A)","F","3574","FA","33","100","Rachat","0","0","0","-","0%","0%"
"*0056w*","Nick Holden","(N/A)","D","3582","FA","38","100","Rachat","0","0","0","-","0%","0%"
"*01f3m*","Peter Holland","COL","F","3587","FA","34","100","Rachat","0","0","0","-","0%","0%"
"*04f87*","Jordan Hollett","OTT","G","3591","FA","26","100","Rachat","0","0","0","-","0%","0%"
"*04d17*","Philip Holm","(N/A)","D","3596","FA","34","100","Rachat","0","0","0","-","0%","0%"
"*0040i*","Chris Holt","OTT","G","3608","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*03rj2*","Patrick Holway","DET","D","3611","FA","29","100","Rachat","0","0","0","-","0%","0%"
"*01uof*","Korbinian Holzer","(N/A)","D","3614","FA","37","100","Rachat","0","0","0","-","0%","0%"
"*003wj*","Patric Hornqvist","(N/A)","F","3628","FA","38","100","Rachat","0","0","0","-","0%","0%"
"*00431*","Martin Houle","(N/A)","G","3636","FA","40","100","Rachat","0","0","0","-","0%","0%"
"*04f7f*","Kale Howarth","(N/A)","F","3641","FA","28","100","Rachat","0","0","0","-","0%","0%"
"*01zqu*","Quinton Howden","(N/A)","F","3642","FA","33","100","Rachat","0","0","0","-","0%","0%"
